file,label
test_0001.npy,1
test_0002.npy,0
test_0003.npy,0
test_0004.npy,0
test_0005.npy,1
test_0006.npy,0
test_0007.npy,0
test_0008.npy,0
test_0009.npy,0
test_0010.npy,0
test_0011.npy,0
test_0012.npy,1
test_0013.npy,1
test_0014.npy,0
test_0015.npy,0
test_0016.npy,0
test_0017.npy,1
test_0018.npy,1
test_0019.npy,1
test_0020.npy,1
test_0021.npy,1
test_0022.npy,0
test_0023.npy,0
test_0024.npy,0
test_0025.npy,1
test_0026.npy,0
test_0027.npy,0
test_0028.npy,1
test_0029.npy,0
test_0030.npy,0
test_0031.npy,0
test_0032.npy,0
test_0033.npy,1
test_0034.npy,1
test_0035.npy,0
test_0036.npy,1
test_0037.npy,1
test_0038.npy,1
test_0039.npy,0
test_0040.npy,0
test_0041.npy,0
test_0042.npy,0
test_0043.npy,1
test_0044.npy,1
test_0045.npy,1
test_0046.npy,0
test_0047.npy,0
test_0048.npy,1
test_0049.npy,0
test_0050.npy,0
test_0051.npy,0
test_0052.npy,0
test_0053.npy,1
test_0054.npy,0
test_0055.npy,1
test_0056.npy,0
test_0057.npy,1
test_0058.npy,1
test_0059.npy,1
test_0060.npy,0
test_0061.npy,0
test_0062.npy,1
test_0063.npy,0
test_0064.npy,0
test_0065.npy,0
test_0066.npy,1
test_0067.npy,1
test_0068.npy,1
test_0069.npy,0
test_0070.npy,0
test_0071.npy,0
test_0072.npy,0
test_0073.npy,1
test_0074.npy,0
test_0075.npy,0
test_0076.npy,0
test_0077.npy,0
test_0078.npy,0
test_0079.npy,1
test_0080.npy,1
test_0081.npy,0
test_0082.npy,1
test_0083.npy,0
test_0084.npy,1
test_0085.npy,0
test_0086.npy,0
test_0087.npy,1
test_0088.npy,1
test_0089.npy,1
test_0090.npy,0
test_0091.npy,0
test_0092.npy,0
test_0093.npy,0
test_0094.npy,0
test_0095.npy,0
test_0096.npy,0
test_0097.npy,1
test_0098.npy,1
test_0099.npy,1
test_0100.npy,1
test_0101.npy,0
test_0102.npy,1
test_0103.npy,1
test_0104.npy,0
test_0105.npy,0
test_0106.npy,0
test_0107.npy,1
test_0108.npy,1
test_0109.npy,1
test_0110.npy,0
test_0111.npy,1
test_0112.npy,1
test_0113.npy,1
test_0114.npy,1
test_0115.npy,1
test_0116.npy,0
test_0117.npy,0
test_0118.npy,1
test_0119.npy,0
test_0120.npy,0
test_0121.npy,0
test_0122.npy,1
test_0123.npy,1
test_0124.npy,1
test_0125.npy,1
test_0126.npy,1
test_0127.npy,0
test_0128.npy,1
test_0129.npy,0
test_0130.npy,0
test_0131.npy,0
test_0132.npy,1
test_0133.npy,0
test_0134.npy,0
test_0135.npy,1
